Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5922","Export value","0141","Soya beans","2022","2022","1000 USD","0","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5910","Export quantity","0141","Soya beans","2007","2007","t","26","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5910","Export quantity","0141","Soya beans","2011","2011","t","1","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5910","Export quantity","0141","Soya beans","2019","2019","t","67.99","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5910","Export quantity","0141","Soya beans","2022","2022","t","93.72","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5910","Export quantity","0141","Soya beans","2023","2023","t","140.48","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5922","Export value","0141","Soya beans","2007","2007","1000 USD","12","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5922","Export value","0141","Soya beans","2011","2011","1000 USD","1","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5922","Export value","0141","Soya beans","2019","2019","1000 USD","94","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5922","Export value","0141","Soya beans","2022","2022","1000 USD","144","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","156","China, mainland","5922","Export value","0141","Soya beans","2023","2023","1000 USD","233","A","Official figure"
"TM","Detailed trade matrix","204","Benin","156","China, mainland","5910","Export quantity","0141","Soya beans","2014","2014","t","131.08","A","Official figure"
"TM","Detailed trade matrix","204","Benin","156","China, mainland","5922","Export value","0141","Soya beans","2014","2014","1000 USD","47","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","1987","1987","t","3780","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","1989","1989","t","11500","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","1996","1996","t","14960","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","1997","1997","t","302387","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","1998","1998","t","944972","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","1999","1999","t","620451","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2000","2000","t","1783628","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2001","2001","t","3192323","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2002","2002","t","4142665","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2003","2003","t","6101944","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2004","2004","t","5678005","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2005","2005","t","7157546","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2006","2006","t","10769170","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2007","2007","t","10071880","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2008","2008","t","11823570","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2009","2009","t","15939970","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2010","2010","t","15852090","X","Figure from external organization"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2011","2011","t","22104720","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2012","2012","t","22558960","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2013","2013","t","32251520","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2014","2014","t","32664328.18","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2015","2015","t","40925506.99","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2016","2016","t","38563909.13","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2017","2017","t","53796970.43","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2018","2018","t","68839892.47","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2019","2019","t","57963485.74","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2020","2020","t","60595839.6","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2021","2021","t","60476103.96","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2022","2022","t","53740401.17","I","Value imputed by a receiving agency"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5910","Export quantity","0141","Soya beans","2023","2023","t","74471954.17","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","1987","1987","1000 USD","1247","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","1989","1989","1000 USD","2513","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","1996","1996","1000 USD","4299","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","1997","1997","1000 USD","89828","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","1998","1998","1000 USD","221631","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","1999","1999","1000 USD","111290","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2000","2000","1000 USD","337350","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2001","2001","1000 USD","537664","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2002","2002","1000 USD","825475","A","Official figure"
